subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,659.1287403,1338.370724,0.794972924,0.829698707,0.323588417,0.2,0.814825675,1.5
LV001,raw,Selection,mll,660.6118943,1341.337032,0.793684529,0.786980277,0.316780434,0.2,0.857371799,1.5
LV001,raw,Matching,mll,661.4847248,1343.082693,0.792072606,0.761235858,0.307525854,0.2,0.954460952,1.5
LV002,raw,Averaging,mll,765.3560342,1550.825311,0.804042577,0.999186908,0.605118362,0.2,0.320917009,1.5
LV002,raw,Selection,mll,765.4819813,1551.077206,0.803902435,0.981002091,0.602643724,0.2,0.269299447,1.5
LV002,raw,Matching,mll,765.4530744,1551.019392,0.804041775,0.999940846,0.60551668,0.2,1.892375567,1.5
LV003,raw,Averaging,mll,287.0364059,594.1860549,0.969321613,0.991807999,0.494806558,0.2,2.999187916,1.5
LV003,raw,Selection,mll,282.2625487,584.6383405,0.968967016,0.999995287,0.390068601,0.2,2.315532702,1.5
LV003,raw,Matching,mll,282.2665253,584.6462937,0.968912185,0.999959482,0.389423427,0.2,2.566751965,1.5
LV005,raw,Averaging,mll,404.9933774,830.0999978,0.937141031,0.989008337,0.389073843,0.2,1.189510433,1.5
LV005,raw,Selection,mll,405.527046,831.1673351,0.936946299,0.974059099,0.388384048,0.2,1.061264299,1.5
LV005,raw,Matching,mll,405.6020556,831.3173542,0.93491068,0.98557579,0.360779649,0.2,1.682900802,1.5
LV007,raw,Averaging,mll,146.3295062,312.7722556,0.991133411,0.846484821,0.431007776,0.2,0.490701233,1.5
LV007,raw,Selection,mll,147.2194788,314.5522007,0.987071686,0.763758264,0.52235705,0.2,0.71292319,1.5
LV007,raw,Matching,mll,141.5494252,303.2120934,0.992960513,0.858360455,0.38822064,0.2,1.235135618,1.5
LV008,raw,Averaging,mll,688.5274207,1397.168084,0.744583272,0.603423954,0.259267469,0.2,0.409195094,1.5
LV008,raw,Selection,mll,689.8411284,1399.7955,0.742784538,0.669634714,0.246079239,0.2,0.700543093,1.5
LV008,raw,Matching,mll,690.4314783,1400.9762,0.742345882,0.402664254,0.243131701,0.2,0.85093734,1.5
LV009,raw,Averaging,mll,340.8644261,701.8420952,0.935518622,0.438008341,0.205700825,0.2,1.174105737,1.5
LV009,raw,Selection,mll,341.1878142,702.4888715,0.935808063,0.375616337,0.211165778,0.2,1.247664042,1.5
LV009,raw,Matching,mll,341.3749384,702.8631199,0.93546909,0.142061898,0.203990844,0.2,1.350027395,1.5
LV011,raw,Averaging,mll,668.1720388,1356.457321,0.772395592,0.001484257,2.758098285,0.2,1.891828629,1.5
LV011,raw,Selection,mll,667.1115039,1354.336251,0.775119483,0.15481831,2.997540699,0.2,2.999148536,1.5
LV011,raw,Matching,mll,666.9377313,1353.988706,0.775561122,0.046923042,2.989297483,0.2,0.32746604,1.5
LV012,raw,Averaging,mll,825.6286808,1671.370605,0.70327532,0.990470996,0.591282084,0.2,1.664070392,1.5
LV012,raw,Selection,mll,825.5929194,1671.299082,0.705681459,0.95526392,0.620379278,0.2,1.247952205,1.5
LV012,raw,Matching,mll,826.0015009,1672.116245,0.696975886,0.992237692,0.521594557,0.2,1.918244271,1.5
LV013,raw,Averaging,mll,904.3618335,1828.83691,0.635328596,0.813381627,0.35510612,0.2,1.243166226,1.5
LV013,raw,Selection,mll,905.8376767,1831.788596,0.63634063,0.787011301,0.360257424,0.2,0.757835937,1.5
LV013,raw,Matching,mll,906.8088163,1833.730876,0.631269343,0.755726028,0.337942741,0.2,1.610590865,1.5
