subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,725.954857,1465.318543,0.66747846,1.0,0.222406327,0.2,2.999568963,1.5
LV001,raw,Selection,mll,725.954857,1465.318543,0.66747846,1.0,0.222406327,0.2,2.999568963,1.5
LV001,raw,Matching,mll,725.954857,1465.318543,0.66747846,1.0,0.222406327,0.2,2.999568963,1.5
LV002,raw,Averaging,mll,765.421671,1544.252171,0.805461792,1.0,0.631986885,0.2,2.851566983,1.5
LV002,raw,Selection,mll,765.421671,1544.252171,0.805461792,1.0,0.631986885,0.2,2.851566983,1.5
LV002,raw,Matching,mll,765.421671,1544.252171,0.805461792,1.0,0.631986885,0.2,2.851566983,1.5
LV003,raw,Averaging,mll,282.3492263,578.1072814,0.969151382,1.0,0.394813501,0.2,2.987773136,1.5
LV003,raw,Selection,mll,282.3492263,578.1072814,0.969151382,1.0,0.394813501,0.2,2.987773136,1.5
LV003,raw,Matching,mll,282.3492263,578.1072814,0.969151382,1.0,0.394813501,0.2,2.987773136,1.5
LV005,raw,Averaging,mll,416.1527498,845.7143283,0.918074496,1.0,0.295770631,0.2,2.997145204,1.5
LV005,raw,Selection,mll,416.1527498,845.7143283,0.918074496,1.0,0.295770631,0.2,2.997145204,1.5
LV005,raw,Matching,mll,416.1527498,845.7143283,0.918074496,1.0,0.295770631,0.2,2.997145204,1.5
LV007,raw,Averaging,mll,181.5160348,376.4408983,0.957724776,1.0,0.28196789,0.2,2.930151702,1.5
LV007,raw,Selection,mll,181.5160348,376.4408983,0.957724776,1.0,0.28196789,0.2,2.930151702,1.5
LV007,raw,Matching,mll,181.5160348,376.4408983,0.957724776,1.0,0.28196789,0.2,2.930151702,1.5
LV008,raw,Averaging,mll,794.5285393,1602.465907,0.567936315,1.0,0.206346855,0.2,2.999175527,1.5
LV008,raw,Selection,mll,794.5285393,1602.465907,0.567936315,1.0,0.206346855,0.2,2.999175527,1.5
LV008,raw,Matching,mll,794.5285393,1602.465907,0.567936315,1.0,0.206346855,0.2,2.999175527,1.5
LV009,raw,Averaging,mll,465.4401227,944.289074,0.739904219,1.0,0.201844947,0.2,2.999545412,1.5
LV009,raw,Selection,mll,465.4401227,944.289074,0.739904219,1.0,0.201844947,0.2,2.999545412,1.5
LV009,raw,Matching,mll,465.4401227,944.289074,0.739904219,1.0,0.201844947,0.2,2.999545412,1.5
LV011,raw,Averaging,mll,1024.94794,2063.304709,0.553278845,1.0,0.650269293,0.2,2.010884138,1.5
LV011,raw,Selection,mll,1024.94794,2063.304709,0.553278845,1.0,0.650269293,0.2,2.010884138,1.5
LV011,raw,Matching,mll,1024.94794,2063.304709,0.553278845,1.0,0.650269293,0.2,2.010884138,1.5
LV012,raw,Averaging,mll,829.7145614,1672.837952,0.677128853,1.0,0.40005854,0.2,2.992991065,1.5
LV012,raw,Selection,mll,829.7145614,1672.837952,0.677128853,1.0,0.40005854,0.2,2.992991065,1.5
LV012,raw,Matching,mll,829.7145614,1672.837952,0.677128853,1.0,0.40005854,0.2,2.992991065,1.5
