subject_id,group,location,strategy,fit_type,true_pcommon,recovered_pcommon,true_sigma_v,recovered_sigma_v,sigma_a,true_sigma_p,recovered_sigma_p,true_mu_p,recovered_mu_p,mu_p,recovery_error,recovery_bic,recovery_r2,recovered_strategy
LV001,Low Vision,visible,Selection,mll,0.5424651141780124,0.5221749244852965,0.3940654107662624,0.4027749535537145,0.2,0.6878140617421863,0.7512941907907262,0.5968411476591711,0.5293234896701591,0.5293234896701591,841.330832256541,1715.83786307349,0.9998575326695442,Selection
LV002,Low Vision,visible,Selection,mll,0.5210911722793697,0.5057350724831852,2.098360611765796,2.0335153927204885,0.2,2.291166124204396,2.65550013363723,1.008901954269005,1.1839915321382812,1.1839915321382812,1029.3868380841152,2091.9498747286384,0.9996633500367488,Selection
LV003,Low Vision,visible,Selection,mll,0.8717744303090148,0.8770880711486645,1.0122204067828504,0.8893895706270887,0.2,0.73234328601915,0.7022367372147736,1.3593662392812085,1.4417292957959027,1.4417292957959027,258.24579322368163,549.6677850077714,0.9999771058115376,Selection
LV005,Low Vision,visible,Selection,mll,0.5265125302522553,0.4966280735077658,0.8706174467695345,0.6675073556526415,0.2,0.7511339091990172,0.9092188472828526,0.5105906158713204,0.2322476830365872,0.2322476830365872,1166.6867044506375,2366.549607461683,0.9996595685864156,Selection
LV007,Low Vision,visible,Averaging,mll,0.6493682011920259,0.6234067428191944,0.652536164889607,0.5429881414067114,0.2,0.7162706364566032,0.763816384267544,1.588863616534694,1.896847159464309,1.896847159464309,595.4440494294251,1224.0642974192583,0.9999730837875644,Averaging
LV008,Low Vision,visible,Selection,mll,0.5247909671585221,0.5593396070836151,0.2910982599924989,0.3031948131699626,0.2,1.1324353505138598,0.9750055250013728,0.7566745842038832,0.8944358427249928,0.8944358427249928,537.7281809504964,1108.6325604614008,0.999978230548346,Selection
LV009,Low Vision,visible,Selection,mll,0.3628988792918526,0.3681300848480114,2.954145730909629,2.807245700987695,0.2,0.8143484659753271,0.8251504369301607,0.811085282496363,0.8213889835954854,0.8213889835954854,517.061381211191,1067.29896098279,0.9999685347416865,Selection
LV011,Low Vision,visible,Selection,mll,0.002166603952886,0.0445467764714696,1.298072246033895,0.9134045375379404,0.2,1.5798067167868317,1.48757242783446,2.996542122742647,3.497756006579401,3.497756006579401,973.5211026068696,1980.2184037741472,0.9985282544408706,Selection
LV015,Low Vision,visible,Matching,mll,0.0019911111685204,0.0015431860602238,2.922803199750081,2.945131743438649,0.2,0.6340530701925768,0.609741838584034,1.0947664542992086,1.1755116041679563,1.1755116041679563,73.6711967859492,180.5185921323065,0.9999944625614562,Matching
LV016,Low Vision,visible,Averaging,mll,0.0693697566562913,0.0752922560660453,1.104827420639422,1.1586364798320543,0.2,0.599875715825177,0.6599510339419141,0.628121650350384,0.6571580374329445,0.6571580374329445,814.7155039423698,1662.6072064451475,0.9996890723387496,Averaging
LV017,Low Vision,visible,Matching,mll,0.0002698860049801,0.0001284618458821,2.671584117823309,2.8379716517303266,0.2,0.6184570309306978,0.6176441659060217,0.950950638708884,0.9980419996541487,0.9980419996541487,65.08920872086985,163.3546160021478,0.9999955931163924,Matching
LV018,Low Vision,visible,Averaging,mll,0.8608656305722365,0.853136616135453,1.097683795855441,0.9281109105835816,0.2,0.5362674239278206,0.5752470075218895,1.0047537472794754,1.15473233942987,1.15473233942987,360.7806475438907,754.7374936481896,0.9999551148062696,Averaging
LV019,Low Vision,visible,Averaging,mll,0.9574625779502428,0.9854237021051946,1.3295004951801674,0.8011423129328572,0.2,0.7854652296504893,0.9457824975153688,1.0267697109354563,1.4316380541482074,1.4316380541482074,323.37094170662846,679.918081973665,0.9999468700901616,Averaging
LV020,Low Vision,visible,Averaging,mll,0.8455511263487303,0.8474589020689832,2.9514525988485,2.98380519082386,0.2,2.058998001231824,2.185151840172058,2.9878394047658663,3.476825633700483,3.476825633700483,430.4661939617786,894.1085864839653,0.9999244384884136,Averaging
LV021,Low Vision,visible,Matching,mll,0.0076459050719888,0.0105512928642633,2.863902747856548,2.696237195817767,0.2,0.7582867351276713,0.7700200020925099,0.8532063721664266,0.9028389369621476,0.9028389369621476,256.63199031908255,546.4401791985732,0.9999856183040048,Matching
LV022,Low Vision,visible,Averaging,mll,0.0017570180975044,0.0346054831092573,1.4565772909782857,1.5593058545745406,0.2,0.624926025241859,0.6261013155783128,0.7085900708263019,0.6891257801967547,0.6891257801967547,648.8909241231145,1330.958046806637,0.9995798786747336,Averaging
LV023,Low Vision,visible,Matching,mll,0.7231348539734465,0.7146955697096801,1.3140218936590766,1.3525737353619818,0.2,1.9595659844194493,2.4811128475463486,1.0967496282031803,1.2261697051190057,1.2261697051190057,1033.3654199546756,2099.9070384697598,0.9998549050660502,Matching
LV024,Low Vision,visible,Selection,mll,0.424673419632175,0.3881631120652112,2.9925610217926706,2.364858099515636,0.2,2.917554125667148,2.8991766733065405,2.9039970871054823,3.27375286997719,3.27375286997719,1133.6798234120456,2300.535845384499,0.9998043051632935,Selection
LV025,Low Vision,visible,Selection,mll,0.1384050489027315,0.2977949341521903,0.9510669225401802,1.58899007807349,0.2,0.7915369827725895,0.91567566261262,0.7150341528990244,0.7780553740913222,0.7780553740913222,1005.9253449560916,2045.0268884725915,0.9997637022654916,Selection
SV103,Sighted Control,visible,Selection,mll,0.9035072574659,0.8643920773298381,0.3772438200173456,0.4112760596926418,0.2,0.6531255359431156,0.5519918370985033,1.499913572335426,1.3035778584308166,1.3035778584308166,523.6185146486595,1080.413227857727,0.9999890468491944,Selection
SV110,Sighted Control,visible,Matching,mll,0.8550994397841649,0.8731128792683185,1.156064924434707,1.0706492896803377,0.2,0.6203193689163748,0.6240293298504906,1.1510665180378477,1.216328546534244,1.216328546534244,414.6012072874206,862.3786131352493,0.9999822718973234,Matching
SV111,Sighted Control,visible,Matching,mll,0.8068562782198638,0.8099763163962207,1.0942491495224218,1.2750788780958675,0.2,1.0999575854691117,1.012216506573107,2.43792678782411,2.041407145705973,2.041407145705973,510.7397651876814,1054.6557289357709,0.9998962445481606,Matching
SV113,Sighted Control,visible,Matching,mll,0.957315568102798,0.9549397483597152,2.8930643189827467,1.5631893985530487,0.2,1.2170583390649443,0.9707750983486918,1.3849386628935827,1.522923899156044,1.522923899156044,309.29856115865414,651.7733208777164,0.999956707328188,Matching
SV119,Sighted Control,visible,Averaging,mll,0.7985026987557107,0.7702703429873617,0.2981835524420813,0.3062545565526681,0.2,0.8082290243166704,0.7431161543467721,1.602708392110209,1.5256422166949857,1.5256422166949857,437.8896404244861,908.9554794093804,0.9999821223323884,Averaging
SV201,Sighted Control,visible,Selection,mll,0.8657557845098672,0.7622404495748684,0.3937404624173162,0.3915372518571229,0.2,0.7329562989032731,0.8130683283251234,2.3363181483004816,2.75721671720724,2.75721671720724,454.1971803946052,941.5705593496184,0.9999895965201788,Selection
SV202,Sighted Control,visible,Averaging,mll,0.0040441873982254,0.0251238222780095,2.9663406751180066,2.885365296373686,0.2,0.7581822100229133,0.7651366985215903,0.8796804163437865,0.9138020941113568,0.9138020941113568,173.76281677033936,380.7018321010869,0.9999775936558328,Averaging
SV203,Sighted Control,visible,Matching,mll,0.9998484215155544,0.9993468830117376,2.592449221368236,2.515457754423207,0.2,0.6902851763820264,0.784311182342955,1.0544002618153123,1.6498200128891731,1.6498200128891731,106.4272798667368,246.0307582938817,0.9999948023618352,Matching
