subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,566.4145790464743,1152.9424011578408,0.8142714773013768,0.0,0.9999439904554851,0.4,1.209221536021059,0.10060331209032644
LV002,raw,Averaging,mll,816.5018791760587,1653.1170014170095,0.5261100376809399,0.0,0.9967774118788288,0.4,2.0821969296759804,1.2261074654037099
LV003,raw,Averaging,mll,560.4918415632545,1141.0969261914013,0.8248643963251968,0.0,0.9858247955167702,0.4,2.9474417948033604,1.1015060010739532
LV005,raw,Averaging,mll,565.5288555884962,1151.1709542418846,0.8960391105322683,0.0,0.9983830551586123,0.4,1.800003104729151,0.12179932989706263
LV007,raw,Averaging,mll,546.1429900300702,1112.3992231250327,0.8785469584698679,0.0,0.7822218816316074,0.4,0.8563898930854958,1.6271576005083417
LV008,raw,Averaging,mll,532.3009845890888,1084.7152122430698,0.7903776832102034,0.0,0.9997190746091161,0.4,1.095202565455653,0.10356468842553783
LV009,raw,Averaging,mll,459.9282349066816,939.9697128782556,0.9790977922268048,0.0,0.9967038443436989,0.4,0.961719682852704,0.3360259572499683
LV011,raw,Averaging,mll,590.7771610134798,1201.6675650918519,0.830986515701053,0.0,0.9998061431198928,0.4,2.9955689859801042,1.2192412849018817
LV012,raw,Averaging,mll,569.3532743623833,1158.819791789659,0.612514294880536,0.0,0.9998274610782338,0.4,0.9926033497139223,0.10114824391551518
LV013,raw,Averaging,mll,599.3841311600709,1218.881505385034,0.623848330575557,0.0,0.9999259161897679,0.4,1.1250176914257757,0.1015205113814214
LV015,raw,Averaging,mll,278.31958208582677,576.7524072365459,0.9908747433380696,0.0,0.21084475505411057,0.4,1.0160537333642106,0.6357841895164111
LV016,raw,Averaging,mll,575.8311821590878,1171.7756073830678,0.6613417284725102,0.0,0.9999581764580078,0.4,1.1400805590290688,0.10143757426549546
LV017,raw,Averaging,mll,316.06377399353846,652.2407910519693,0.9815378464478048,0.0,0.14860433084504562,0.4,1.2790577352078505,0.8074902460970299
LV018,raw,Averaging,mll,474.9749944165842,970.0632318980607,0.8253862540226548,0.0,0.9998433792883493,0.4,0.9515047282037907,1.7158296907970587
LV019,raw,Averaging,mll,493.13491996903355,1006.3830830029594,0.758492804758957,0.0,0.9956321668581449,0.4,1.197467401823044,2.0963644323194854
LV020,raw,Averaging,mll,711.9053901431647,1443.9240233512216,0.7521460916145402,0.0,0.9886321989613915,0.4,1.1255390654572994,2.391419716419006
LV021,raw,Averaging,mll,367.2902674428475,754.6937779505873,0.9845026291319711,0.0,0.4542729349151793,0.4,1.17526723297084,0.3568885923615164
LV022,raw,Averaging,mll,500.4497430564413,1021.012729177775,0.960536067784938,0.0,0.9998358915399491,0.4,1.054937732399734,0.10104709640756808
LV023,raw,Averaging,mll,756.06242862811,1532.2381003211121,0.7048062642167778,0.0,0.9611248713001593,0.4,1.333409471483022,0.10049632040242884
LV024,raw,Averaging,mll,876.4281966159467,1772.9696362967857,0.6734109596332956,0.0,0.9413990650481437,0.4,1.5878996151785456,0.10038544905486282
LV025,raw,Averaging,mll,503.15134330119434,1026.415929667281,0.8806102461993015,0.0,0.9994590142450178,0.4,1.1872769910087195,0.10072632541923471
SV103,raw,Averaging,mll,525.9597621944823,1072.0327674538569,0.8843637790448745,0.0,0.46094425737437084,0.4,2.226292938911015,2.9499061105337803
SV110,raw,Averaging,mll,515.2783879585425,1050.6700189819771,0.8274256054280114,0.0,0.9785393091855241,0.4,0.8689140917187764,1.632934116867253
SV111,raw,Averaging,mll,567.5900406371006,1155.2933243390935,0.800197242670482,0.0,0.999085936541098,0.4,1.1460456129733883,2.0569930281202766
SV113,raw,Averaging,mll,472.8430115081341,965.7992660811606,0.7820055317492919,0.0,0.9847120089530684,0.4,1.136898006433705,1.917111845052887
SV119,raw,Averaging,mll,353.9978023188954,728.1088477026832,0.9733907616321155,0.0,0.3183597806101012,0.4,2.6585467972276993,2.9290758140424296
SV201,raw,Averaging,mll,406.32188052792526,832.7570041207429,0.8728622623543325,0.0,0.9995725680179527,0.4,0.843814854094411,1.5734564782003988
SV202,raw,Averaging,mll,348.4502198348662,717.0136827346247,0.9864938766453732,0.0,0.2188283607555993,0.4,1.1724650655080822,0.9570274765767569
SV203,raw,Averaging,mll,382.7686146124767,785.6504722898458,0.7692143265707497,0.0,0.8855284394036682,0.4,0.895994816848724,1.9836415669962626
SV204,raw,Averaging,mll,618.5982483053906,1257.3097396756734,0.7089870314049037,0.0,0.9704114539125972,0.4,0.9555711376594518,2.0309719152423718
SV205,raw,Averaging,mll,273.713896531338,567.5410361275683,0.9928617235296369,0.0,0.2670993729504249,0.4,2.3955917386777394,2.3139702047982165
SV206,raw,Averaging,mll,662.1767161589114,1344.466675382715,0.929952016865894,0.0,0.9999223225267123,0.4,0.990670531573662,1.788949539252498
SV207,raw,Averaging,mll,311.45532977445225,643.0239026137968,0.9864351183625483,0.0,0.25249216987437967,0.4,1.2104414206069831,0.9256235066069826
SV208,raw,Averaging,mll,595.3724301126327,1210.8581032901577,0.7765872970054871,0.0,0.9983329458220886,0.4,0.9667555761187393,1.7838680048392612
SV209,raw,Averaging,mll,463.56608616533543,947.2454153955632,0.7990923385595704,0.0,0.9666584321191007,0.4,0.9162315285959376,1.9240359758521137
SV210,raw,Averaging,mll,414.45700754887866,849.0272581626497,0.7646923568249824,0.0,0.8969925954418728,0.4,0.8862684022338959,1.9924020132034945
SV211,raw,Averaging,mll,315.875644443725,651.8645319523423,0.9559561289746801,0.0,0.5685818505882753,0.4,0.6170259732390262,1.5250305138098745
SV212,raw,Averaging,mll,375.80616346318106,771.7255699912545,0.975657925526403,0.0,0.2417984232087685,0.4,1.1515586549628976,0.8652316653961175
SV213,raw,Averaging,mll,489.75092789076075,999.6150988464138,0.7806727704262473,0.0,0.7967454466740195,0.4,0.8213994544085548,1.8678467055065742
SV214,raw,Averaging,mll,361.19115962639114,742.4955623176746,0.9797782476435595,0.0,0.215926011763592,0.4,2.0524451242501756,2.5314237285773316
SV215,raw,Averaging,mll,540.4688791038766,1101.0510012726454,0.8350493647872143,0.0,0.9760104331195594,0.4,1.2347730969868302,1.626396153263847
SV216,raw,Averaging,mll,451.2497321410324,922.6127073469571,0.909676511011494,0.0,0.7499174177252245,0.4,0.7497182143175894,1.414698786006146
LV001,visible,Averaging,mll,125.02408480030533,266.67196023608597,0.9690648215831171,0.0,0.41728016171015025,0.4,2.209568924248224,2.89434097659993
LV002,visible,Averaging,mll,271.7465125415947,559.6875131877426,0.5624436582596879,0.0,0.9190629165333636,0.4,2.554871310906801,2.3055542873071007
LV003,visible,Averaging,mll,337.5817131895923,694.2421479852017,0.7617476070998603,0.0,0.9242150546751667,0.4,1.0789624166961262,2.137918826044641
LV005,visible,Averaging,mll,321.089718167227,660.780963856582,0.8755675694110814,0.0,0.803340194842394,0.4,1.9518850889108865,1.66321278590105
LV007,visible,Averaging,mll,546.1429900300702,1112.3992231250327,0.8785469584698679,0.0,0.7822218816316074,0.4,0.8563898930854958,1.6271576005083417
LV008,visible,Averaging,mll,99.59242088247899,214.59223707610877,0.9588933097768657,0.0,0.3008901831392828,0.4,2.912271579375236,2.8819749378602704
