subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,1134.6928229088342,2276.0900601726325,0.3093666621666641,1.0,0.9978680660615269,0.4,4000,1.5
LV002,raw,Averaging,mll,760.0936430652514,1526.8917004854668,0.8136369393198662,1.0,0.9979310654610953,0.4,4000,1.5
LV003,raw,Averaging,mll,653.8611748261276,1314.4267640072192,0.9233069039077622,1.0,0.9994461192356925,0.4,4000,1.5
LV005,raw,Averaging,mll,787.4658266362444,1581.6360676274528,0.8268371319765938,1.0,0.9949071839283236,0.4,4000,1.5
LV007,raw,Averaging,mll,533.9815375279838,1074.6674894109317,0.9115251987952383,1.0,0.5826489966787781,0.4,4000,1.5
LV008,raw,Averaging,mll,1182.831427380419,2372.367269115802,0.2689254958880245,1.0,0.9982929412750493,0.4,4000,1.5
LV009,raw,Averaging,mll,775.0562198187474,1556.8168539924588,0.6687540292986209,1.0,0.5742377409892119,0.4,4000,1.5
LV011,raw,Averaging,mll,807.7342348705449,1622.1728840960538,0.6279794540320095,1.0,0.998076925321271,0.4,4000,1.5
LV012,raw,Averaging,mll,1380.5176874634274,2767.739789281819,0.06691727711990891,1.0,0.9991430400657259,0.4,4000,1.5
LV013,raw,Averaging,mll,1379.884306501877,2766.4730273587184,0.1007900940593246,1.0,0.9996111422334579,0.4,4000,1.5
LV015,raw,Averaging,mll,392.23215300525226,791.1687203654686,0.8073923922990617,1.0,0.3675526085505951,0.4,4000,1.5
LV016,raw,Averaging,mll,1343.8101746650875,2694.3247636851393,0.11027241141369792,1.0,0.9986655539897211,0.4,4000,1.5
LV017,raw,Averaging,mll,445.6244973371794,897.9534090293229,0.7853614823300525,1.0,0.363161007500749,0.4,4000,1.5
LV018,raw,Averaging,mll,421.95992463171183,850.6242636183878,0.9386586670450856,1.0,0.6063766374726579,0.4,4000,1.5
LV019,raw,Averaging,mll,400.69314247431504,808.0906993035942,0.9426993658885738,1.0,0.8672001479361771,0.4,4000,1.5
LV020,raw,Averaging,mll,673.0975934278725,1352.899601210709,0.8789711185512475,1.0,0.9194354976328153,0.4,4000,1.5
LV021,raw,Averaging,mll,541.0055642821102,1088.7155429191844,0.7889402662744708,1.0,0.44342982283509197,0.4,4000,1.5
LV022,raw,Averaging,mll,984.549743133947,1975.803900622858,0.47754414523916233,1.0,0.6242271375176308,0.4,4000,1.5
