subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,750.0775697937629,1526.9727970073823,0.6568289265471934,0.0005759006261415559,0.8471839156707158,0.6,1.1303677906791332,0.10014064721460565
LV001,raw,Selection,mll,738.532126646794,1503.8819107134445,0.7014866569013909,0.30336099799126526,0.8371653398009464,0.6,0.9252592528359177,0.10001703115091291
LV001,raw,Matching,mll,772.8052928690745,1572.4282431580054,0.5811669135207637,0.09921502840236973,0.7867153592377539,0.6,1.0413664464084624,0.19813921152551028
LV002,raw,Averaging,mll,858.8367226011767,1744.4911026222098,0.5799120352533533,0.8667706220963669,0.7772218008374705,0.6,2.9626718628524573,0.1518582451484323
LV002,raw,Selection,mll,816.302190739181,1659.4220388982185,0.700671187397604,0.7311429680024873,1.0491377199118872,0.6,2.839662154974258,0.11497862606205109
LV002,raw,Matching,mll,827.4805075033726,1681.7786724266016,0.6706630728018131,0.8744785489588436,0.9653168284464276,0.6,2.8378104830568045,0.15499127289394662
LV003,raw,Averaging,mll,785.4198352179944,1597.6573278558453,0.797388333439541,0.6461724964685457,1.0318208379465408,0.6,2.791496993992373,0.40901991761711615
LV003,raw,Selection,mll,758.3384311127976,1543.4945196454516,0.8632660132313825,0.6021154789245856,1.7753613425943167,0.6,1.9462678542834881,0.6226029182036806
LV003,raw,Matching,mll,775.2825289520537,1577.3827153239638,0.8218291456184036,0.6396377434440121,0.9327643063916833,0.6,2.8845838000432305,0.2078884568124858
LV005,raw,Averaging,mll,858.4027935072029,1743.6232444342622,0.754088808735706,0.006252145596425141,0.9154094749242132,0.6,2.285643017119093,0.10151918040852788
LV005,raw,Selection,mll,840.9113006103184,1708.6402586404934,0.7997403911464911,0.44426575661408874,0.8302243002492816,0.6,1.3512520339713876,0.10208286242918323
LV005,raw,Matching,mll,846.4628387619124,1719.7433349436812,0.7883524560221606,0.38412146418979226,0.8972943759152672,0.6,1.8949592624430025,0.10155742729796864
LV007,raw,Averaging,mll,549.6104219782533,1126.038501376363,0.9369296992413355,0.5521442125746058,2.985698276118297,0.6,1.152648415121485,1.269949749026708
LV007,raw,Selection,mll,562.3992987249569,1151.6162548697703,0.9170867948738609,0.5480015991299937,2.977009846646598,0.6,1.0191344790245564,1.1971945471251928
LV007,raw,Matching,mll,559.8074414254129,1146.4325402706822,0.9206558727223035,0.6685008809611537,2.9529194858286303,0.6,1.0355237886159379,1.188602375663694
LV008,raw,Averaging,mll,676.1472939847254,1379.1122453893072,0.6387851992591203,0.0006263811522658492,0.8559267044476784,0.6,0.9556009699214243,0.10043494155750238
LV008,raw,Selection,mll,670.2453234973384,1367.3083044145333,0.6768471565701542,0.25699721608697784,0.8491207229340082,0.6,0.8592408455793885,0.10016628687282599
LV008,raw,Matching,mll,675.9196977136362,1378.6570528471289,0.6394693787707969,0.0019284669866894422,0.8565954222020173,0.6,0.9516830372174359,0.10020384370545815
LV009,raw,Averaging,mll,716.6451935652992,1460.108044550455,0.8876065790573551,0.002759208743400055,0.8705993648271558,0.6,1.2286767595175836,0.23846985907500604
