subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,725.9500823,1458.604579,0.667415265,1.0,0.222177939,0.2,4000,1.5
LV001,raw,Selection,mll,725.9500823,1458.604579,0.667415265,1.0,0.222177939,0.2,4000,1.5
LV001,raw,Matching,mll,725.9500823,1458.604579,0.667415265,1.0,0.222177939,0.2,4000,1.5
LV002,raw,Averaging,mll,765.3554284,1537.415271,0.80407369,1.0,0.606008652,0.2,4000,1.5
LV002,raw,Selection,mll,765.3554284,1537.415271,0.80407369,1.0,0.606008652,0.2,4000,1.5
LV002,raw,Matching,mll,765.3554284,1537.415271,0.80407369,1.0,0.606008652,0.2,4000,1.5
LV003,raw,Averaging,mll,282.2123198,571.1290541,0.968934273,1.0,0.389389067,0.2,4000,1.5
LV003,raw,Selection,mll,282.2123198,571.1290541,0.968934273,1.0,0.389389067,0.2,4000,1.5
LV003,raw,Matching,mll,282.2123198,571.1290541,0.968934273,1.0,0.389389067,0.2,4000,1.5
LV005,raw,Averaging,mll,416.1350307,838.9744758,0.917907777,1.0,0.293974882,0.2,4000,1.5
LV005,raw,Selection,mll,416.1350307,838.9744758,0.917907777,1.0,0.293974882,0.2,4000,1.5
LV005,raw,Matching,mll,416.1350307,838.9744758,0.917907777,1.0,0.293974882,0.2,4000,1.5
LV007,raw,Averaging,mll,179.7504191,366.2052525,0.960399274,1.0,0.260742756,0.2,4000,1.5
LV007,raw,Selection,mll,179.7504191,366.2052525,0.960399274,1.0,0.260742756,0.2,4000,1.5
LV007,raw,Matching,mll,179.7504191,366.2052525,0.960399274,1.0,0.260742756,0.2,4000,1.5
LV008,raw,Averaging,mll,794.52092,1595.746254,0.567805405,1.0,0.205878975,0.2,4000,1.5
LV008,raw,Selection,mll,794.52092,1595.746254,0.567805405,1.0,0.205878975,0.2,4000,1.5
LV008,raw,Matching,mll,794.52092,1595.746254,0.567805405,1.0,0.205878975,0.2,4000,1.5
LV009,raw,Averaging,mll,465.432859,937.5701324,0.739861752,1.0,0.201348217,0.2,4000,1.5
LV009,raw,Selection,mll,465.432859,937.5701324,0.739861752,1.0,0.201348217,0.2,4000,1.5
LV009,raw,Matching,mll,465.432859,937.5701324,0.739861752,1.0,0.201348217,0.2,4000,1.5
LV011,raw,Averaging,mll,1022.943994,2052.592403,0.547424521,1.0,0.468419649,0.2,4000,1.5
LV011,raw,Selection,mll,1022.943994,2052.592403,0.547424521,1.0,0.468419649,0.2,4000,1.5
LV011,raw,Matching,mll,1022.943994,2052.592403,0.547424521,1.0,0.468419649,0.2,4000,1.5
LV012,raw,Averaging,mll,829.689239,1666.082892,0.676185018,1.0,0.394829416,0.2,4000,1.5
LV012,raw,Selection,mll,829.689239,1666.082892,0.676185018,1.0,0.394829416,0.2,4000,1.5
LV012,raw,Matching,mll,829.689239,1666.082892,0.676185018,1.0,0.394829416,0.2,4000,1.5
LV013,raw,Averaging,mll,962.6985644,1932.101543,0.522704601,1.0,0.229308797,0.2,4000,1.5
LV013,raw,Selection,mll,962.6985644,1932.101543,0.522704601,1.0,0.229308797,0.2,4000,1.5
LV013,raw,Matching,mll,962.6985644,1932.101543,0.522704601,1.0,0.229308797,0.2,4000,1.5
LV015,raw,Averaging,mll,241.130743,488.9659003,0.801693434,1.0,0.199988685,0.2,4000,1.5
LV015,raw,Selection,mll,241.130743,488.9659003,0.801693434,1.0,0.199988685,0.2,4000,1.5
LV015,raw,Matching,mll,241.130743,488.9659003,0.801693434,1.0,0.199988685,0.2,4000,1.5
LV016,raw,Averaging,mll,917.7527156,1842.209846,0.486934034,1.0,0.199748301,0.2,4000,1.5
LV016,raw,Selection,mll,917.7527156,1842.209846,0.486934034,1.0,0.199748301,0.2,4000,1.5
LV016,raw,Matching,mll,917.7527156,1842.209846,0.486934034,1.0,0.199748301,0.2,4000,1.5
LV017,raw,Averaging,mll,145.8718872,298.4481887,0.812160704,1.0,0.198667313,0.2,4000,1.5
LV017,raw,Selection,mll,145.8718872,298.4481887,0.812160704,1.0,0.198667313,0.2,4000,1.5
LV017,raw,Matching,mll,145.8718872,298.4481887,0.812160704,1.0,0.198667313,0.2,4000,1.5
LV018,raw,Averaging,mll,83.86616764,174.4367496,0.989134733,1.0,0.295896251,0.2,4000,1.5
LV018,raw,Selection,mll,83.86616764,174.4367496,0.989134733,1.0,0.295896251,0.2,4000,1.5
LV018,raw,Matching,mll,83.86616764,174.4367496,0.989134733,1.0,0.295896251,0.2,4000,1.5
LV019,raw,Averaging,mll,115.7850553,238.274525,0.995512233,1.0,0.388586772,0.2,4000,1.5
LV019,raw,Selection,mll,115.7850553,238.274525,0.995512233,1.0,0.388586772,0.2,4000,1.5
LV019,raw,Matching,mll,115.7850553,238.274525,0.995512233,1.0,0.388586772,0.2,4000,1.5
LV020,raw,Averaging,mll,322.7187265,652.1418674,0.953908791,1.0,0.540345312,0.2,4000,1.5
LV020,raw,Selection,mll,322.7187265,652.1418674,0.953908791,1.0,0.540345312,0.2,4000,1.5
LV020,raw,Matching,mll,322.7187265,652.1418674,0.953908791,1.0,0.540345312,0.2,4000,1.5
LV021,raw,Averaging,mll,278.4821206,563.6686555,0.793890155,1.0,0.200276063,0.2,4000,1.5
LV021,raw,Selection,mll,278.4821206,563.6686555,0.793890155,1.0,0.200276063,0.2,4000,1.5
LV021,raw,Matching,mll,278.4821206,563.6686555,0.793890155,1.0,0.200276063,0.2,4000,1.5
LV022,raw,Averaging,mll,574.3134719,1155.331358,0.684447142,1.0,0.199741361,0.2,4000,1.5
LV022,raw,Selection,mll,574.3134719,1155.331358,0.684447142,1.0,0.199741361,0.2,4000,1.5
LV022,raw,Matching,mll,574.3134719,1155.331358,0.684447142,1.0,0.199741361,0.2,4000,1.5
LV023,raw,Averaging,mll,893.3173392,1793.339093,0.741120073,1.0,0.383627462,0.2,4000,1.5
LV023,raw,Selection,mll,893.3173392,1793.339093,0.741120073,1.0,0.383627462,0.2,4000,1.5
LV023,raw,Matching,mll,893.3173392,1793.339093,0.741120073,1.0,0.383627462,0.2,4000,1.5
LV024,raw,Averaging,mll,1027.661896,2062.028206,0.704631382,1.0,0.45807576,0.2,4000,1.5
LV024,raw,Selection,mll,1027.661896,2062.028206,0.704631382,1.0,0.45807576,0.2,4000,1.5
LV024,raw,Matching,mll,1027.661896,2062.028206,0.704631382,1.0,0.45807576,0.2,4000,1.5
LV025,raw,Averaging,mll,665.385337,1337.475088,0.653745439,1.0,0.203252445,0.2,4000,1.5
LV025,raw,Selection,mll,665.385337,1337.475088,0.653745439,1.0,0.203252445,0.2,4000,1.5
LV025,raw,Matching,mll,665.385337,1337.475088,0.653745439,1.0,0.203252445,0.2,4000,1.5
SV103,raw,Averaging,mll,230.1521239,467.0086621,0.950135591,1.0,0.252707553,0.2,4000,1.5
SV103,raw,Selection,mll,230.1521239,467.0086621,0.950135591,1.0,0.252707553,0.2,4000,1.5
SV103,raw,Matching,mll,230.1521239,467.0086621,0.950135591,1.0,0.252707553,0.2,4000,1.5
SV110,raw,Averaging,mll,89.06093301,184.8262804,0.984604574,1.0,0.285016239,0.2,4000,1.5
SV110,raw,Selection,mll,89.06093301,184.8262804,0.984604574,1.0,0.285016239,0.2,4000,1.5
SV110,raw,Matching,mll,89.06093301,184.8262804,0.984604574,1.0,0.285016239,0.2,4000,1.5
SV111,raw,Averaging,mll,273.6952057,554.0948257,0.975731407,1.0,0.420333911,0.2,4000,1.5
SV111,raw,Selection,mll,273.6952057,554.0948257,0.975731407,1.0,0.420333911,0.2,4000,1.5
SV111,raw,Matching,mll,273.6952057,554.0948257,0.975731407,1.0,0.420333911,0.2,4000,1.5
SV113,raw,Averaging,mll,89.14584126,184.9960969,0.995866733,1.0,0.388561883,0.2,4000,1.5
SV113,raw,Selection,mll,89.14584126,184.9960969,0.995866733,1.0,0.388561883,0.2,4000,1.5
SV113,raw,Matching,mll,89.14584126,184.9960969,0.995866733,1.0,0.388561883,0.2,4000,1.5
SV119,raw,Averaging,mll,178.6271783,363.958771,0.87687252,1.0,0.21683529,0.2,4000,1.5
SV119,raw,Selection,mll,178.6271783,363.958771,0.87687252,1.0,0.21683529,0.2,4000,1.5
SV119,raw,Matching,mll,178.6271783,363.958771,0.87687252,1.0,0.21683529,0.2,4000,1.5
LV001,visible,Averaging,mll,48.71646106,102.8310848,0.896949076,1.0,0.22274022,0.2,4000,1.5
LV001,visible,Selection,mll,48.71646106,102.8310848,0.896949076,1.0,0.22274022,0.2,4000,1.5
LV001,visible,Matching,mll,48.71646106,102.8310848,0.896949076,1.0,0.22274022,0.2,4000,1.5
LV002,visible,Averaging,mll,86.12798711,176.880947,0.769895502,1.0,0.557377262,0.2,4000,1.5
LV002,visible,Selection,mll,86.12798711,176.880947,0.769895502,1.0,0.557377262,0.2,4000,1.5
LV002,visible,Matching,mll,86.12798711,176.880947,0.769895502,1.0,0.557377262,0.2,4000,1.5
LV003,visible,Averaging,mll,28.04960729,62.42893548,0.995780117,1.0,0.367254222,0.2,4000,1.5
LV003,visible,Selection,mll,28.04960729,62.42893548,0.995780117,1.0,0.367254222,0.2,4000,1.5
LV003,visible,Matching,mll,28.04960729,62.42893548,0.995780117,1.0,0.367254222,0.2,4000,1.5
LV005,visible,Averaging,mll,67.78858642,141.5458804,0.985935001,1.0,0.291577299,0.2,4000,1.5
LV005,visible,Selection,mll,67.78858642,141.5458804,0.985935001,1.0,0.291577299,0.2,4000,1.5
LV005,visible,Matching,mll,67.78858642,141.5458804,0.985935001,1.0,0.291577299,0.2,4000,1.5
LV007,visible,Averaging,mll,179.7504191,366.2052525,0.960399274,1.0,0.260742756,0.2,4000,1.5
LV007,visible,Selection,mll,179.7504191,366.2052525,0.960399274,1.0,0.260742756,0.2,4000,1.5
LV007,visible,Matching,mll,179.7504191,366.2052525,0.960399274,1.0,0.260742756,0.2,4000,1.5
LV008,visible,Averaging,mll,33.10384511,71.23812814,0.84284979,1.0,0.206685021,0.2,4000,1.5
LV008,visible,Selection,mll,33.10384511,71.23812814,0.84284979,1.0,0.206685021,0.2,4000,1.5
LV008,visible,Matching,mll,33.10384511,71.23812814,0.84284979,1.0,0.206685021,0.2,4000,1.5
LV009,visible,Averaging,mll,82.97496685,172.0789839,0.821618391,1.0,0.201038147,0.2,4000,1.5
LV009,visible,Selection,mll,82.97496685,172.0789839,0.821618391,1.0,0.201038147,0.2,4000,1.5
LV009,visible,Matching,mll,82.97496685,172.0789839,0.821618391,1.0,0.201038147,0.2,4000,1.5
LV011,visible,Averaging,mll,188.5459215,382.8694953,0.774785934,1.0,0.650348519,0.2,4000,1.5
LV011,visible,Selection,mll,188.5459215,382.8694953,0.774785934,1.0,0.650348519,0.2,4000,1.5
LV011,visible,Matching,mll,188.5459215,382.8694953,0.774785934,1.0,0.650348519,0.2,4000,1.5
LV015,visible,Averaging,mll,203.0227334,412.7073215,0.804488142,1.0,0.199906986,0.2,4000,1.5
LV015,visible,Selection,mll,203.0227334,412.7073215,0.804488142,1.0,0.199906986,0.2,4000,1.5
LV015,visible,Matching,mll,203.0227334,412.7073215,0.804488142,1.0,0.199906986,0.2,4000,1.5
LV016,visible,Averaging,mll,14.78117426,33.49417415,0.797294919,1.0,0.199292761,0.2,4000,1.5
LV016,visible,Selection,mll,14.78117426,33.49417415,0.797294919,1.0,0.199292761,0.2,4000,1.5
LV016,visible,Matching,mll,14.78117426,33.49417415,0.797294919,1.0,0.199292761,0.2,4000,1.5
LV017,visible,Averaging,mll,145.8718872,298.4481887,0.812160704,1.0,0.198667313,0.2,4000,1.5
LV017,visible,Selection,mll,145.8718872,298.4481887,0.812160704,1.0,0.198667313,0.2,4000,1.5
LV017,visible,Matching,mll,145.8718872,298.4481887,0.812160704,1.0,0.198667313,0.2,4000,1.5
LV018,visible,Averaging,mll,83.86616764,174.4367496,0.989134733,1.0,0.295896251,0.2,4000,1.5
LV018,visible,Selection,mll,83.86616764,174.4367496,0.989134733,1.0,0.295896251,0.2,4000,1.5
LV018,visible,Matching,mll,83.86616764,174.4367496,0.989134733,1.0,0.295896251,0.2,4000,1.5
LV019,visible,Averaging,mll,78.61345362,163.8443102,0.995850305,1.0,0.388547997,0.2,4000,1.5
LV019,visible,Selection,mll,78.61345362,163.8443102,0.995850305,1.0,0.388547997,0.2,4000,1.5
LV019,visible,Matching,mll,78.61345362,163.8443102,0.995850305,1.0,0.388547997,0.2,4000,1.5
LV020,visible,Averaging,mll,284.0323293,574.7265133,0.959295151,1.0,0.500438498,0.2,4000,1.5
LV020,visible,Selection,mll,284.0323293,574.7265133,0.959295151,1.0,0.500438498,0.2,4000,1.5
LV020,visible,Matching,mll,284.0323293,574.7265133,0.959295151,1.0,0.500438498,0.2,4000,1.5
LV021,visible,Averaging,mll,121.2673064,249.0313878,0.814128436,1.0,0.200291512,0.2,4000,1.5
LV021,visible,Selection,mll,121.2673064,249.0313878,0.814128436,1.0,0.200291512,0.2,4000,1.5
LV021,visible,Matching,mll,121.2673064,249.0313878,0.814128436,1.0,0.200291512,0.2,4000,1.5
LV022,visible,Averaging,mll,88.29068307,182.4591019,0.806068087,1.0,0.199286152,0.2,4000,1.5
LV022,visible,Selection,mll,88.29068307,182.4591019,0.806068087,1.0,0.199286152,0.2,4000,1.5
LV022,visible,Matching,mll,88.29068307,182.4591019,0.806068087,1.0,0.199286152,0.2,4000,1.5
LV023,visible,Averaging,mll,74.86204931,154.7545365,0.959132249,1.0,0.328691035,0.2,4000,1.5
LV023,visible,Selection,mll,74.86204931,154.7545365,0.959132249,1.0,0.328691035,0.2,4000,1.5
LV023,visible,Matching,mll,74.86204931,154.7545365,0.959132249,1.0,0.328691035,0.2,4000,1.5
LV024,visible,Averaging,mll,333.4227094,672.4512208,0.603559189,1.0,0.458057821,0.2,4000,1.5
LV024,visible,Selection,mll,333.4227094,672.4512208,0.603559189,1.0,0.458057821,0.2,4000,1.5
LV024,visible,Matching,mll,333.4227094,672.4512208,0.603559189,1.0,0.458057821,0.2,4000,1.5
LV025,visible,Averaging,mll,85.80893489,177.3414549,0.816394556,1.0,0.203258876,0.2,4000,1.5
LV025,visible,Selection,mll,85.80893489,177.3414549,0.816394556,1.0,0.203258876,0.2,4000,1.5
LV025,visible,Matching,mll,85.80893489,177.3414549,0.816394556,1.0,0.203258876,0.2,4000,1.5
SV103,visible,Averaging,mll,212.3913398,431.4660406,0.950152856,1.0,0.252854481,0.2,4000,1.5
SV103,visible,Selection,mll,212.3913398,431.4660406,0.950152856,1.0,0.252854481,0.2,4000,1.5
SV103,visible,Matching,mll,212.3913398,431.4660406,0.950152856,1.0,0.252854481,0.2,4000,1.5
SV110,visible,Averaging,mll,89.06093301,184.8262804,0.984604574,1.0,0.285016239,0.2,4000,1.5
SV110,visible,Selection,mll,89.06093301,184.8262804,0.984604574,1.0,0.285016239,0.2,4000,1.5
SV110,visible,Matching,mll,89.06093301,184.8262804,0.984604574,1.0,0.285016239,0.2,4000,1.5
SV111,visible,Averaging,mll,245.2285842,497.1190232,0.973531493,1.0,0.419594273,0.2,4000,1.5
SV111,visible,Selection,mll,245.2285842,497.1190232,0.973531493,1.0,0.419594273,0.2,4000,1.5
SV111,visible,Matching,mll,245.2285842,497.1190232,0.973531493,1.0,0.419594273,0.2,4000,1.5
SV113,visible,Averaging,mll,52.33925677,111.3403683,0.995357295,1.0,0.389380489,0.2,4000,1.5
SV113,visible,Selection,mll,52.33925677,111.3403683,0.995357295,1.0,0.389380489,0.2,4000,1.5
SV113,visible,Matching,mll,52.33925677,111.3403683,0.995357295,1.0,0.389380489,0.2,4000,1.5
SV119,visible,Averaging,mll,151.3474721,309.356799,0.877963983,1.0,0.216326657,0.2,4000,1.5
SV119,visible,Selection,mll,151.3474721,309.356799,0.877963983,1.0,0.216326657,0.2,4000,1.5
SV119,visible,Matching,mll,151.3474721,309.356799,0.877963983,1.0,0.216326657,0.2,4000,1.5
LV001,invisible,Averaging,mll,658.3561775,1323.042076,0.231318072,1.0,0.215036294,0.2,4000,1.5
LV001,invisible,Selection,mll,658.3561775,1323.042076,0.231318072,1.0,0.215036294,0.2,4000,1.5
LV001,invisible,Matching,mll,658.3561775,1323.042076,0.231318072,1.0,0.215036294,0.2,4000,1.5
LV002,invisible,Averaging,mll,587.5510335,1181.490628,0.742077377,1.0,0.796821851,0.2,4000,1.5
LV002,invisible,Selection,mll,587.5510335,1181.490628,0.742077377,1.0,0.796821851,0.2,4000,1.5
LV002,invisible,Matching,mll,587.5510335,1181.490628,0.742077377,1.0,0.796821851,0.2,4000,1.5
LV003,invisible,Averaging,mll,247.3703199,500.2129106,0.630770783,1.0,0.350660848,0.2,4000,1.5
LV003,invisible,Selection,mll,247.3703199,500.2129106,0.630770783,1.0,0.350660848,0.2,4000,1.5
LV003,invisible,Matching,mll,247.3703199,500.2129106,0.630770783,1.0,0.350660848,0.2,4000,1.5
LV005,invisible,Averaging,mll,294.3174448,594.412542,0.710695151,1.0,0.292628073,0.2,4000,1.5
