subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,653.3325741522408,1313.3695626594456,0.4499156213764641,1.0,0.1722057752789348,0.2,4000,1.5
LV002,raw,Averaging,mll,762.3157003252431,1531.3358150054503,0.5114505132939358,1.0,0.4837425347221298,0.2,4000,1.5
LV003,raw,Averaging,mll,274.60371547551154,555.9118453059872,0.9266913729857961,1.0,0.3287075040197087,0.2,4000,1.5
LV005,raw,Averaging,mll,395.25900891011287,797.2224321751899,0.8219277276567684,1.0,0.24598505867154802,0.2,4000,1.5
LV007,raw,Averaging,mll,145.6299932601474,297.9644008752589,0.995480611087598,1.0,0.21280542401065583,0.2,4000,1.5
LV008,raw,Averaging,mll,684.7579336617546,1376.2202816784732,0.41302764604339404,1.0,0.1451311991833308,0.2,4000,1.5
LV009,raw,Averaging,mll,337.69292835510595,682.090271065176,0.8527524979023678,1.0,0.13016688821338332,0.2,4000,1.5
LV011,raw,Averaging,mll,1014.5483353524129,2035.8010850597898,-0.32483379166233717,1.0,0.4175306221817416,0.2,4000,1.5
LV012,raw,Averaging,mll,821.9014717910198,1650.5073579370037,0.2837061700591752,1.0,0.3198992321104775,0.2,4000,1.5
LV013,raw,Averaging,mll,900.0754005104511,1806.8552153758662,0.08586793600266418,1.0,0.18073877992493328,0.2,4000,1.5
LV015,raw,Averaging,mll,100.43260752344314,207.5696294018504,0.9931481495840847,1.0,0.10726650594820912,0.2,4000,1.5
LV016,raw,Averaging,mll,776.0856844104609,1558.8757831758858,0.32626975298544825,1.0,0.09017033015843182,0.2,4000,1.5
LV017,raw,Averaging,mll,3.7357114369007807,14.175837228765669,0.9999866676767533,1.0,0.0901703354169544,0.2,4000,1.5
LV018,raw,Averaging,mll,63.83408201080034,134.37257837656477,0.9992045355992306,1.0,0.24908172869778739,0.2,4000,1.5
LV019,raw,Averaging,mll,107.7038117894262,222.1120379338165,0.9933800798709109,1.0,0.3270867328822628,0.2,4000,1.5
LV020,raw,Averaging,mll,318.9396575529462,644.5837294608565,0.9039055819870224,1.0,0.4584336882318587,0.2,4000,1.5
LV021,raw,Averaging,mll,140.8312667529748,288.36694786091374,0.9765984260282011,1.0,0.11697217544479546,0.2,4000,1.5
LV022,raw,Averaging,mll,432.4409827790722,871.5863799131085,0.7565039321878566,1.0,0.09017033243802687,0.2,4000,1.5
LV023,raw,Averaging,mll,884.9390693104234,1776.5825529758108,0.26810922224398226,1.0,0.3253828425012733,0.2,4000,1.5
LV024,raw,Averaging,mll,1021.5928577430125,2049.890129840989,-0.12084509581222314,1.0,0.41755578978573304,0.2,4000,1.5
LV025,raw,Averaging,mll,546.9094320239395,1100.523278402843,0.6461687948174015,1.0,0.13420442136108485,0.2,4000,1.5
SV103,raw,Averaging,mll,190.08235979967492,386.86913395431395,0.9831231932982494,1.0,0.20585133583116122,0.2,4000,1.5
SV110,raw,Averaging,mll,65.06273623061341,136.82988681619094,0.9994963117393879,1.0,0.2384278110051813,0.2,4000,1.5
SV111,raw,Averaging,mll,267.1177652183765,540.9399447917172,0.952414520746942,1.0,0.34105891190724263,0.2,4000,1.5
SV113,raw,Averaging,mll,81.83210666413888,170.36862768324187,0.9948903061215002,1.0,0.33920869423133465,0.2,4000,1.5
SV119,raw,Averaging,mll,95.6705524554523,198.0455192658687,0.9988701837782417,1.0,0.1646298751997259,0.2,4000,1.5
SV201,raw,Averaging,mll,70.2646101125493,147.23363458006273,0.9994888090198211,1.0,0.2221999327680202,0.2,4000,1.5
SV202,raw,Averaging,mll,64.97932162855864,136.6630576120814,0.9973627212656516,1.0,0.09017033534380405,0.2,4000,1.5
SV203,raw,Averaging,mll,17.760603596830457,42.22562154862502,0.9924296112163294,1.0,0.35426076223424713,0.2,4000,1.5
SV204,raw,Averaging,mll,121.53903054406244,249.782475443089,0.9785382188125447,1.0,0.3544140868238869,0.2,4000,1.5
SV205,raw,Averaging,mll,71.88829003718436,150.48099442933284,0.9985375287286697,1.0,0.14994552809485817,0.2,4000,1.5
SV206,raw,Averaging,mll,504.63915319491184,1015.9827207447878,0.7585893591747513,1.0,0.212821154226729,0.2,4000,1.5
SV207,raw,Averaging,mll,24.12757096923301,54.959556293430126,0.9996661754870679,1.0,0.12113319067934718,0.2,4000,1.5
