subject_id,sigma_a,error,bic,r2
SV201,0.126,147.857,301.783,0.81
SV202,0.23,139.808,285.685,0.81
SV203,0.201,168.575,343.219,0.807
SV204,0.125,117.836,241.741,0.814
SV205,0.189,140.739,287.546,0.811
SV206,0.425,317.29,640.647,0.764
SV207,0.245,193.922,393.912,0.802
SV208,0.257,172.685,351.438,0.805
SV209,0.125,129.845,265.757,0.812
SV210,0.125,111.832,229.732,0.814
SV211,0.191,121.041,248.15,0.813
SV212,0.115,117.831,241.73,0.814
SV213,0.125,117.836,241.741,0.814
SV214,0.182,116.536,239.14,0.814
SV215,0.201,144.331,294.731,0.81
SV216,0.112,141.842,289.753,0.811
