subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,666.0296137219672,1352.1724705088266,0.7893616551820004,0.8957546870267378,0.2953070524292079,0.2,0.5128741102308708,1.5
LV001,raw,Selection,mll,667.4634622830891,1355.0401676310703,0.7891821760934056,0.843316660763517,0.2959095904387194,0.2,0.6325802446569735,1.5
LV001,raw,Matching,mll,668.0926120305472,1356.2984671259867,0.7889054033371234,0.7372133755570957,0.2946133306944008,0.2,1.3493654426013524,1.5
LV002,raw,Averaging,mll,775.6834995393774,1571.480242143647,0.7988123497536282,0.9807364148245332,0.537532249869201,0.2,0.2173219702977864,1.5
LV002,raw,Selection,mll,775.4260771556784,1570.965397376249,0.8003975676690616,0.9943115297009592,0.563402724080035,0.2,0.2715787692824498,1.5
LV002,raw,Matching,mll,775.5050584227439,1571.12335991038,0.8003292369231961,0.9999336890586724,0.56207065090498,0.2,2.6865022909000547,1.5
LV003,raw,Averaging,mll,291.4953727161092,603.1039884971107,0.9690026128254656,0.9999996550029596,0.3891875427627301,0.2,2.938329364619015,1.5
LV003,raw,Selection,mll,291.60126685516326,603.3157767752189,0.9685551197096378,0.9900111545887554,0.3791281847848807,0.2,0.1758965175209455,1.5
LV003,raw,Matching,mll,291.5175959954637,603.1484350558197,0.968886439899817,0.9999517508322924,0.3859767240204402,0.2,0.1775668648241457,1.5
LV005,raw,Averaging,mll,428.6527184903306,877.4186800455535,0.934288030066194,0.9929773812824348,0.3623558990752647,0.2,0.8016912762040062,1.5
LV005,raw,Selection,mll,428.96951412493473,878.0522713147618,0.9345427426442656,0.9751238853981916,0.3652379822409876,0.2,1.872324224639928,1.5
LV005,raw,Matching,mll,428.9404253323258,877.9940937295439,0.9335957646433,0.9895194241666982,0.3547405844478673,0.2,1.406674783114886,1.5
LV007,raw,Averaging,mll,154.91607551633518,329.9453940975627,0.9907287198200506,0.8853643585588389,0.4101114023737818,0.2,0.7856257902615097,1.5
LV007,raw,Selection,mll,152.93944232420552,325.9921277133034,0.9919874874773104,0.8335448617407551,0.4181513254524082,0.2,0.7764931889128786,1.5
LV007,raw,Matching,mll,149.28228738466342,318.6778178342192,0.9942480367551092,0.8938008440280522,0.3891868975394088,0.2,0.4810594710965708,1.5
