subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,793.4270231576146,1600.2628750251574,0.7763177591779493,0.0,0.45886422117961256,0.3,2.890938736433598,1.5
LV002,raw,Averaging,mll,1082.8810117961618,2179.1708523022517,0.5011683411636261,0.0,0.9928928943518819,0.3,2.9923411642496487,1.5
LV003,raw,Averaging,mll,511.4167980158258,1036.2424247415797,0.7326254185893903,0.0,0.8960053123065176,0.3,2.7149015772665215,1.5
LV005,raw,Averaging,mll,613.633283256879,1240.6753952236863,0.7845926408059554,0.0,0.8130710825866496,0.3,2.5660028421611023,1.5
LV007,raw,Averaging,mll,295.72545826488397,604.8597452396962,0.9035195065228943,0.0,0.6838867106290596,0.3,2.5806709614434613,1.5
LV008,raw,Averaging,mll,810.6058474574135,1634.6205236247552,0.7234446327628239,0.0,0.29734764114447465,0.3,2.9875617366085887,1.5
LV009,raw,Averaging,mll,467.5437007479031,948.4962302057344,0.9282577814567095,0.0,0.23147156734092575,0.3,2.992624809671504,1.5
LV011,raw,Averaging,mll,796.0763500147029,1605.561528739334,0.6669711045902948,0.0,0.9960526895152295,0.3,2.9954726650545114,1.5
LV012,raw,Averaging,mll,1096.3724196872001,2206.1536680843283,0.49017486711804226,0.0,0.9814585890413122,0.3,2.987571854020151,1.5
LV013,raw,Averaging,mll,1065.3943050878217,2144.1974388855715,0.5952544363916796,0.0,0.5444403063404871,0.3,2.940479407394429,1.5
LV015,raw,Averaging,mll,264.62194792688297,542.6527245636942,0.9913886027025209,0.0,0.15690932667452862,0.3,2.9901471084188813,1.5
LV016,raw,Averaging,mll,897.3233926273022,1808.0556139645325,0.6534578087520089,0.0,0.14841065468589032,0.3,2.8496382966354448,1.5
LV017,raw,Averaging,mll,105.14687008095196,223.7025688718321,0.9977370909460672,0.0,0.13392624145984697,0.3,2.997482356590767,1.5
LV018,raw,Averaging,mll,275.2729043735946,563.9546374571174,0.8266765779331134,0.0,0.7704788791361578,0.3,0.24634439410503095,1.5
LV019,raw,Averaging,mll,413.56468271354095,840.5381941370101,0.7352073076544903,0.0,0.8758717478413959,0.3,2.788583947747046,1.5
LV020,raw,Averaging,mll,498.1436116352719,1009.696051980472,0.7120634558205114,0.0,0.9930052497753074,0.3,2.9828962892593096,1.5
LV021,raw,Averaging,mll,250.14523631624155,513.6993013424113,0.9858404040390267,0.0,0.18562273098932552,0.3,2.9867714083987273,1.5
LV022,raw,Averaging,mll,564.3406016102383,1142.0900319304048,0.8793168615775707,0.0,0.14627239216411256,0.3,2.998310656346154,1.5
LV023,raw,Averaging,mll,1089.065280946444,2191.539390602816,0.5664422927462803,0.0,0.9930046881892344,0.3,2.98940508723391,1.5
LV024,raw,Averaging,mll,1123.1316821391513,2259.6721929882306,0.5850401370890441,0.0,0.9956665996346146,0.3,2.994433350769898,1.5
LV025,raw,Averaging,mll,628.2805155888141,1269.9698598875564,0.8459699315495928,0.0,0.29188966984276876,0.3,2.9928273782495247,1.5
SV103,raw,Averaging,mll,354.98100790210367,723.3708445141356,0.89630261364409,0.0,0.5999058669563604,0.3,2.728973250488128,1.5
SV110,raw,Averaging,mll,295.632199964141,604.6732286382103,0.8408550959005463,0.0,0.7738954766244263,0.3,2.3361921801022696,1.5
SV111,raw,Averaging,mll,420.9097251611905,855.2282790323093,0.7515762582394911,0.0,0.8907556078734759,0.3,2.7384851549573934,1.5
SV113,raw,Averaging,mll,366.71507358296526,746.8389758758588,0.7377481266802158,0.0,0.8810884974935361,0.3,2.901542754031519,1.5
SV119,raw,Averaging,mll,199.10364484142042,411.61611839276907,0.984958370288885,0.0,0.3627218756100596,0.3,2.951192684654627,1.5
SV201,raw,Averaging,mll,292.93684363765664,599.2825159852415,0.8664531323547665,0.0,0.6437931770404179,0.3,2.8753479375734594,1.5
SV202,raw,Averaging,mll,208.23787582515007,429.88458036022837,0.9949446479128289,0.0,0.11774911072147738,0.3,2.9460259750323656,1.5
SV203,raw,Averaging,mll,347.8060169863803,709.0208626826889,0.724593336892226,0.0,0.8815916655531889,0.3,2.938333697290613,1.5
SV204,raw,Averaging,mll,444.31218382668135,902.0331963632909,0.7001575306964993,0.0,0.826305854708705,0.3,2.1494554737416873,1.5
SV205,raw,Averaging,mll,243.76753158964732,500.94389188922287,0.9899807664457425,0.0,0.29525075413434215,0.3,2.919170125010108,1.5
SV206,raw,Averaging,mll,447.67925702448025,908.7673427588887,0.9049295411634368,0.0,0.7750094321783436,0.3,2.1191276809164514,1.5
SV207,raw,Averaging,mll,136.9590839144023,287.3269965387328,0.9974561003067322,0.0,0.19517114269764135,0.3,2.9917189094744905,1.5
SV208,raw,Averaging,mll,407.3500686319161,828.1089659737604,0.7804725194377924,0.0,0.873902218813785,0.3,2.9567012430565005,1.5
SV209,raw,Averaging,mll,342.7174234794443,698.8436756688168,0.7582294790664407,0.0,0.88173599138928,0.3,2.7402636639973745,1.5
SV210,raw,Averaging,mll,266.2422476490585,545.8933240080453,0.7375142194009389,0.0,0.8900295016563543,0.3,2.8871535554289176,1.5
SV211,raw,Averaging,mll,241.92804920874144,497.2649271274111,0.9520096275540084,0.0,0.48257760694453694,0.3,2.970713607735922,1.5
SV212,raw,Averaging,mll,163.6549073028365,340.71864331560124,0.9957978183626637,0.0,0.23372122191807107,0.3,2.9905705862262235,1.5
SV213,raw,Averaging,mll,369.80878714161645,753.0264029931611,0.7613522710381445,0.0,0.8205917113882034,0.3,2.9000576053313245,1.5
SV214,raw,Averaging,mll,145.67061446597205,304.75005764187233,0.997330080071075,0.0,0.23191292814355896,0.3,2.9978723966319003,1.5
SV215,raw,Averaging,mll,398.4151836373881,810.2391959847045,0.8155993902433554,0.0,0.8021831376836818,0.3,2.3536760851834235,1.5
SV216,raw,Averaging,mll,314.43051591882613,642.2698605475805,0.9175229459297597,0.0,0.5367343144547948,0.3,2.777579789795346,1.5
LV001,visible,Averaging,mll,100.62160227376518,212.3257316378472,0.9692407336478406,0.0,0.43066284848297987,0.3,2.979243288674065,1.5
LV002,visible,Averaging,mll,249.16970352685814,509.1357324567518,0.5603630108782554,0.0,0.9360242012041259,0.3,2.2740366051238086,1.5
LV003,visible,Averaging,mll,214.8150531032386,442.34925394382196,0.7524535661994503,0.0,0.8815731817810922,0.3,2.929304921851465,1.5
LV005,visible,Averaging,mll,241.60454901959736,495.6101163872801,0.8287412521608005,0.0,0.8018187633771401,0.3,2.3153656137671,1.5
LV007,visible,Averaging,mll,295.72545826488397,604.8597452396962,0.9035195065228943,0.0,0.6838867106290596,0.3,2.5806709614434613,1.5
LV008,visible,Averaging,mll,60.67766031024384,131.6269174945882,0.9874266535941231,0.0,0.2961628271127694,0.3,2.9932884013909176,1.5
LV009,visible,Averaging,mll,125.48782177915373,263.3766619063928,0.9909196564502749,0.0,0.21891561608192794,0.3,2.9922573210364525,1.5
LV011,visible,Averaging,mll,154.34283130725228,320.34355384972497,0.7640373146947691,0.0,0.9965995258187524,0.3,2.997873419764287,1.5
LV015,visible,Averaging,mll,223.82507335533543,460.9738561917615,0.9920583383017257,0.0,0.15651610786585368,0.3,2.974080623789003,1.5
LV016,visible,Averaging,mll,35.66788363637151,80.58571289931157,0.9667018295448319,0.0,0.14790013741187064,0.3,2.9414446809669443,1.5
LV017,visible,Averaging,mll,105.14687008095196,223.7025688718321,0.9977370909460672,0.0,0.13392624145984697,0.3,2.997482356590767,1.5
LV018,visible,Averaging,mll,275.2729043735946,563.9546374571174,0.8266765779331134,0.0,0.7704788791361578,0.3,0.24634439410503095,1.5
LV019,visible,Averaging,mll,391.53846808547996,796.4436580624924,0.7357173819708376,0.0,0.8761096247708925,0.3,2.800773371244927,1.5
LV020,visible,Averaging,mll,498.1436116352719,1009.696051980472,0.7120634558205114,0.0,0.9930052497753074,0.3,2.9828962892593096,1.5
LV021,visible,Averaging,mll,113.1052929883833,239.2547715731069,0.9974064354661478,0.0,0.18422619758715797,0.3,2.994708389022581,1.5
LV022,visible,Averaging,mll,94.96129289045008,201.8600009008709,0.9957239535400553,0.0,0.14860256050829565,0.3,2.991719962903303,1.5
LV023,visible,Averaging,mll,261.85184342726933,534.7862139448555,0.6747018630959585,0.0,0.9143814830035145,0.3,2.700436496184544,1.5
LV024,visible,Averaging,mll,557.0933865853009,1126.20930751941,0.4859655662798962,0.0,0.9965038149772768,0.3,2.9978137854236446,1.5
LV025,visible,Averaging,mll,100.90226038285849,213.55999232927624,0.9912660616250442,0.0,0.2901861567216607,0.3,2.991075226685165,1.5
SV103,visible,Averaging,mll,335.6313429674503,684.6294078264331,0.8949456110153396,0.0,0.6062843640069168,0.3,2.7410004049299754,1.5
SV110,visible,Averaging,mll,295.632199964141,604.6732286382103,0.8408550959005463,0.0,0.7738954766244263,0.3,2.3361921801022696,1.5
SV111,visible,Averaging,mll,395.941146014854,805.2490139212405,0.7509153513103305,0.0,0.8958682415458389,0.3,2.834102825151594,1.5
SV113,visible,Averaging,mll,309.45920774214505,632.2421249653808,0.739701266495834,0.0,0.885878879344127,0.3,2.9001032450567137,1.5
SV119,visible,Averaging,mll,181.2233658925484,375.81345367662936,0.9848472971883993,0.0,0.36549340293290455,0.3,2.9825880659273105,1.5
SV201,visible,Averaging,mll,292.93684363765664,599.2825159852415,0.8664531323547665,0.0,0.6437931770404179,0.3,2.8753479375734594,1.5
SV202,visible,Averaging,mll,208.23787582515007,429.88458036022837,0.9949446479128289,0.0,0.11774911072147738,0.3,2.9460259750323656,1.5
SV203,visible,Averaging,mll,347.8060169863803,709.0208626826889,0.724593336892226,0.0,0.8815916655531889,0.3,2.938333697290613,1.5
SV204,visible,Averaging,mll,444.31218382668135,902.0331963632909,0.7001575306964993,0.0,0.826305854708705,0.3,2.1494554737416873,1.5
SV205,visible,Averaging,mll,243.76753158964732,500.94389188922287,0.9899807664457425,0.0,0.29525075413434215,0.3,2.919170125010108,1.5
SV206,visible,Averaging,mll,447.67925702448025,908.7673427588887,0.9049295411634368,0.0,0.7750094321783436,0.3,2.1191276809164514,1.5
SV207,visible,Averaging,mll,136.9590839144023,287.3269965387328,0.9974561003067322,0.0,0.19517114269764135,0.3,2.9917189094744905,1.5
SV208,visible,Averaging,mll,407.3500686319161,828.1089659737604,0.7804725194377924,0.0,0.873902218813785,0.3,2.9567012430565005,1.5
SV209,visible,Averaging,mll,342.7174234794443,698.8436756688168,0.7582294790664407,0.0,0.88173599138928,0.3,2.7402636639973745,1.5
SV210,visible,Averaging,mll,266.2422476490585,545.8933240080453,0.7375142194009389,0.0,0.8900295016563543,0.3,2.8871535554289176,1.5
SV211,visible,Averaging,mll,241.92804920874144,497.2649271274111,0.9520096275540084,0.0,0.48257760694453694,0.3,2.970713607735922,1.5
SV212,visible,Averaging,mll,163.6549073028365,340.71864331560124,0.9957978183626637,0.0,0.23372122191807107,0.3,2.9905705862262235,1.5
SV213,visible,Averaging,mll,369.80878714161645,753.0264029931611,0.7613522710381445,0.0,0.8205917113882034,0.3,2.9000576053313245,1.5
SV214,visible,Averaging,mll,145.67061446597205,304.75005764187233,0.997330080071075,0.0,0.23191292814355896,0.3,2.9978723966319003,1.5
SV215,visible,Averaging,mll,374.16395783480436,761.6946375611412,0.8164058975903452,0.0,0.8019568368553947,0.3,2.349535517236281,1.5
