subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p
LV001,raw,Averaging,mll,949.3997658789776,1905.503946112919,0.656110681084223,1.0,0.4481180882894094,0.4,4000,1.5
LV002,raw,Averaging,mll,964.7923816435562,1936.2891776420763,0.7630715356798095,1.0,0.9970977884571252,0.4,4000,1.5
LV003,raw,Averaging,mll,554.3193098875611,1115.3430341300862,0.9290868259538964,1.0,0.8911820336755433,0.4,4000,1.5
LV005,raw,Averaging,mll,664.5019671874453,1335.7083487298546,0.904313009603726,1.0,0.6795255092892917,0.4,4000,1.5
LV007,raw,Averaging,mll,455.85661694057967,918.4176482361236,0.9334341614911864,1.0,0.5483869136022771,0.4,4000,1.5
LV008,raw,Averaging,mll,958.2309464714048,1923.1663072977733,0.5688587818426891,1.0,0.3924262026540179,0.4,4000,1.5
LV009,raw,Averaging,mll,649.3762167800031,1305.4568479149702,0.739954395969997,1.0,0.3804490723823602,0.4,4000,1.5
LV011,raw,Averaging,mll,1032.7833489107495,2072.2711121764632,0.5293357989605603,1.0,0.9084693576173908,0.4,4000,1.5
LV012,raw,Averaging,mll,1171.5725899210695,2349.849594197104,0.62114403699219,1.0,0.9994364591830048,0.4,4000,1.5
LV013,raw,Averaging,mll,1190.4380145909442,2387.5804435368527,0.4926174022129309,1.0,0.5035066589903403,0.4,4000,1.5
LV015,raw,Averaging,mll,434.4752896855092,875.6549937259824,0.8005656762901872,1.0,0.3629384280461132,0.4,4000,1.5
LV016,raw,Averaging,mll,1190.6290702381643,2387.962554831293,0.4442631422368067,1.0,0.3648376752047908,0.4,4000,1.5
LV017,raw,Averaging,mll,337.7363747728143,682.1771639005927,0.8124051789582607,1.0,0.3620080272956406,0.4,4000,1.5
LV018,raw,Averaging,mll,303.72463448626627,614.1536833274967,0.9518872632309616,1.0,0.683389013364015,0.4,4000,1.5
LV019,raw,Averaging,mll,350.7453268134567,708.1950679818775,0.9437713485557112,1.0,0.8631290754483829,0.4,4000,1.5
LV020,raw,Averaging,mll,511.7051491788487,1030.1147127126617,0.9077387314831404,1.0,0.9083957684248504,0.4,4000,1.5
LV021,raw,Averaging,mll,520.3700842672008,1047.4445828893656,0.7798794531206643,1.0,0.3619094348199088,0.4,4000,1.5
LV022,raw,Averaging,mll,762.3127302266828,1531.3298748083296,0.6712868560293412,1.0,0.3811249256715106,0.4,4000,1.5
LV023,raw,Averaging,mll,1169.2382383179756,2345.1808909909155,0.687737931390835,1.0,0.996902500267874,0.4,4000,1.5
LV024,raw,Averaging,mll,1184.4040471807698,2375.512508716504,0.662499239993283,1.0,0.994519766991852,0.4,4000,1.5
LV025,raw,Averaging,mll,810.7157061572358,1628.1358266694356,0.6627455689619774,1.0,0.3815022521826801,0.4,4000,1.5
SV103,raw,Averaging,mll,492.62326816964327,991.9509506942508,0.9218695843571094,1.0,0.5157855530350451,0.4,4000,1.5
SV110,raw,Averaging,mll,376.0616155959889,758.8276455469419,0.9418344770233787,1.0,0.6181170104171181,0.4,4000,1.5
