subject_id,sigma_a,error,bic,r2
SV201,0.135,54.407,114.882,0.991
SV202,0.225,46.326,98.72,0.991
SV203,0.201,75.109,156.286,0.99
SV204,0.135,24.386,54.84,0.992
SV205,0.178,47.433,100.934,0.991
SV206,0.428,223.83,453.728,0.977
SV207,0.242,100.446,206.96,0.99
SV208,0.258,79.224,164.516,0.99
SV209,0.135,36.394,78.857,0.992
SV210,0.135,18.382,42.832,0.992
SV211,0.209,27.516,61.099,0.992
SV212,0.135,24.386,54.84,0.992
SV213,0.135,24.386,54.84,0.992
SV214,0.181,23.081,52.23,0.992
SV215,0.201,50.854,107.777,0.99
SV216,0.135,48.403,102.874,0.991
